Date,Open,High,Low,Close,Adj Close,Volume
2023-11-03,1.730537,1.754342,1.703086,1.732346,1.732346,2549691
2023-11-04,1.732431,1.745239,1.724678,1.735940,1.735940,1629539
2023-11-05,1.736107,1.762761,1.726691,1.745055,1.745055,2504101
2023-11-06,1.744999,1.822831,1.732251,1.810069,1.810069,3132417
2023-11-07,1.810077,1.848699,1.773255,1.828338,1.828338,4010197
2023-11-08,1.828365,1.868724,1.807524,1.830747,1.830747,2683855
2023-11-09,1.830675,1.875573,1.764599,1.799070,1.799070,3231656
2023-11-10,1.798977,1.849126,1.775945,1.848188,1.848188,3087738
2023-11-11,1.848210,1.872940,1.815691,1.855943,1.855943,2905660
2023-11-12,1.855902,1.962975,1.825833,1.894944,1.894944,9734198
2023-11-13,1.894462,1.927741,1.811366,1.814920,1.814920,4219724
2023-11-14,1.814389,1.850078,1.741201,1.774844,1.774844,2791837
2023-11-15,1.774818,1.841048,1.774818,1.829167,1.829167,2306057
2023-11-16,1.829440,1.850191,1.753186,1.772050,1.772050,3100486
2023-11-17,1.772197,1.842064,1.770605,1.819247,1.819247,4874820
2023-11-18,1.819125,1.832226,1.784420,1.792014,1.792014,2505673
2023-11-19,1.792121,1.804430,1.766813,1.795427,1.795427,1615027
2023-11-20,1.795250,1.840307,1.793798,1.817553,1.817553,2616230
2023-11-21,1.817571,1.825401,1.635756,1.648746,1.648746,3328770
2023-11-22,1.648515,1.716294,1.641885,1.710396,1.710396,2561064
2023-11-23,1.710409,1.721997,1.690796,1.708305,1.708305,1891797
2023-11-24,1.708362,1.749783,1.706968,1.729519,1.729519,2204603
2023-11-25,1.729566,1.776814,1.726363,1.767773,1.767773,1923170
2023-11-26,1.767678,1.803913,1.749140,1.755341,1.755341,2673273
2023-11-27,1.755177,1.846086,1.717806,1.791426,1.791426,7133020
2023-11-28,1.791432,1.843448,1.783042,1.797656,1.797656,3250038
2023-11-29,1.797794,1.801176,1.762610,1.769687,1.769687,1868575
2023-11-30,1.769691,1.781455,1.754748,1.779329,1.779329,1651169
2023-12-01,1.779349,1.795488,1.771042,1.793983,1.793983,1645908
2023-12-02,1.793945,1.815389,1.793945,1.812955,1.812955,2308022
2023-12-03,1.812849,1.828791,1.797107,1.810366,1.810366,2123257
2023-12-04,1.810393,1.860976,1.797145,1.818450,1.818450,3576152
2023-12-05,1.818677,1.828941,1.803578,1.816849,1.816849,2786103
2023-12-06,1.816755,1.834994,1.793477,1.815350,1.815350,2863789
2023-12-07,1.815395,2.083883,1.815395,1.872022,1.872022,22703154
2023-12-08,1.872178,1.926524,1.841089,1.912624,1.912624,5951424
2023-12-09,1.912466,2.292602,1.889035,2.061995,2.061995,19206465
2023-12-10,2.060345,2.270768,1.978591,2.015766,2.015766,31080784
